Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.46481603199267E-05,0.0581654269418611,0.04866865025217,0,0,0,0.30035406959819,0.00027069543316674,-2.13815344801898E-07,7.07320383078014E-09,0.000180015863465612,1.47709366545211E-08,0.00044068462099837,0,0,0,0,0,0,package://thth0110/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/base_link.STL,,bottommotorfixture-1;bottommotorbeam-1;sifangluomuM3H8_22.13-20;sifangluomuM3H8_22.13-23;sifangluomuM3H8_22.13-22;bottommotorbeam-2;sifangluomuM3H8_22.13-21;5047-1/3D_双编-5047（功率升级48）_V1.5.0918_2024-09-181.8-1;5047-1/5047电机盖11041.8-1;5047-1/5047编码器销1.8-1;5047-1/5047外壳02181.8-1;5047-1/5047-0.3模二级1.8-1;ARM 8.1.2-1/drivinggearrib-1;ARM 8.1.2-1/drivinggearrib-2;ARM 8.1.2-1/pulley_HTD5M_48_downdriven_1_new-1;ARM 8.1.2-1/bottom5047axialextension-1;ARM 8.1.2-1/bottom5047sit-1;ARM 8.1.2-1/limitouter_downANDboard_bottom2.1.1_1-1;ARM 8.1.2-1/LimitouterUpDownsideBearing_Al_1-1;ARM 8.1.2-1/bearing_IKO_CRBH4510_45x70x102.1.1_1-1,坐标系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Empty_Link1,-0.0151750859915656,-0.00399245087056707,0.0561378060251985,0,0,0,0.549765707356901,0.000475686533877782,4.1625850388632E-06,-1.43763812892749E-05,0.000315008917686389,-3.03828695806303E-06,0.00049992188258295,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link1.STL,,tuchuanbottom-1;tuchuanbottomgasket-1;woshizhouchengzuoM8-1;Copy (1) of GB - Spur gear 2M 17T 20PA 10FW ---S17A75H50L4.0N-1;fixring6_20_8-1;fixring8_25_8-1;yuntaipitcharm-1;yuntairowbottom-1;guangzhou8_35-1;RoboMaster 图传模块 VT02 2019 STEP-1;sifangluomuM3H8_22.13-19;yuntaidiban-1;robomaster m2006 p36直流无刷减速电机-1;robomaster m2006 p36直流无刷减速电机-2;GB - Spur gear 2M 17T 20PA 10FW ---S17A75H50L4.0N-1;2006-1;armaside_1-2;armaside_1-1;sifangluomuM3H8_22.13-17;armabottom-1;Basegasket-1;ARM 8.1.2-1/pulley_HTD5M_48_domnFollowing_1-1;ARM 8.1.2-1/limitinner_up2.1.1_1-1;ARM 8.1.2-1/limitinner_down2.1.1_1-1;Copy (1) of link_2to2-2;Copy (1) of link_2to2-4;Copy (1) of link_2to2-3;Copy (1) of link_2to2-1;sifangluomuM3H8_22.13-18;largemotorsitbota-1;ARM 8.1.2-1/GasketDownsideBearing_CF_1-1;carbonnutcoverlower-1;supportrodgasketlower-1;largemotorsitcon-1;sifangluomuM3H8_22.13-15;sifangluomuM3H8_22.13-14;7256-1/7233外壳02081.1-1;largemotorsitbotb-1;7256-1/7256 -2级1.1-1/轴承座72561.1-1;sifangluomuM3H8_22.13-13;sifangluomuM3H8_22.13-16;7256-1/7256 -2级1.1-1/50668CRBS 508 A UUiko1.1-1;7256-1/7233顶盖10241.1-1;7256-1/7233pcb-12161.1-1;nutflange-1;taotong4_6_5-2;taotong4_6_5-4,坐标系2,基准轴2,j1,revolute,-0.0001,0.12404,0.0795,0,0,0,base_link,0,0,1,100,10,-3.14,3.14,,,,,,,,
Empty_Link2,0.0189640183838487,-0.107927238111461,0.0616640229334262,0,0,0,0.325957208001636,0.00154083690657679,0.000118838442663819,-6.20108037638599E-05,0.000441338792782083,0.000580352445944335,0.0011342341701306,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link2.STL,,supportbeamb-1;supportbeama-1;supportbeamgasket_pantilt-1;bearingsit_supportbeam-1;7256-1/7256 -2级1.1-1/2输出盘7256-821.1-1;largemotorgasket-1;armcarbonsupporta_new-2;armbcarbona-2;armbcarbona-1;armbsupportcarbonb-1;armcarbonsupporta_new-1;bearingsit_supportbeam-2;bearing4_10_4-1,坐标系3,基准轴3,j2,revolute,0.052203,0.0055779,0.081,0,0,0,Empty_Link1,0.99434,0.10625,0,100,10,-3.14,3.14,,,,,,,,
Empty_Link3,-0.0381933280232553,0.0584487347507447,0.00319379905981657,0,0,0,0.372416168853818,0.000391637390148341,1.09586593948885E-05,-4.5179442129007E-07,0.000290989542029812,1.79039949299278E-06,0.000251090686082734,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link3.STL,,bearing4_10_4-2;slideringfixture-1;supportrodgasketupper-1;taotong4_6_5-3;taotong4_6_5-1;carbonnutcoverupper-1;nutflange-2;camerasit-2;4310gasket-1;4310sit_3dprint-1;sifangluomuM3H8_22.13-12;sifangluomuM3H8_22.13-10;sifangluomuM3H8_22.13-4;sifangluomuM3H8_22.13-3;sifangluomuM3H8_22.13-8;sifangluomuM3H8_22.13-7;largemotorsitbot-1;sifangluomuM3H8_22.13-9;sifangluomuM3H8_22.13-5;camerasit-1;sifangluomuM3H8_22.13-6;sifangluomuM3H8_22.13-11;4310sita-1;sifangluomuM3H8_22.13-2;sifangluomuM3H8_22.13-1;5047-2/3D_双编-5047（功率升级48）_V1.5.0918_2024-09-181.8-1;5047-2/5047电机盖11041.8-1;5047-2/5047编码器销1.8-1;5047-2/5047外壳02181.8-1;5047-2/5047-0.3模二级1.8-1/内齿5048A1.8-1;5047-2/5047-0.3模二级1.8-1/5047-轴承座09101.8-1;5047-2/5047-0.3模二级1.8-1/5047-35-44-5橡胶密封型-6707 2rs1.8-1;5047-2/5047-0.3模二级1.8-1/5047-输出盘12301.8-1;largemotorsit-1;7256-2/7256 -2级1.1-1;7256-2/7233pcb-12161.1-1;7256-2/7233外壳02081.1-1;7256-2/7233顶盖10241.1-1,坐标系4,基准轴4,j3,revolute,0.024986,-0.23384,0.13264,0,0,0,Empty_Link2,0.99434,0.10625,0,100,10,-3.14,3.14,,,,,,,,
Empty_Link4,-0.0154333677247912,0.14374505039843,0.00674813689898141,0,0,0,0.34066787706499,0.000318598903007456,2.20601818971233E-05,1.32285615494824E-06,0.000122801247546674,-1.0991461247757E-05,0.000332684335927319,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link4.STL,,"Q1P01-1056-6PS-C0341-1;4310flange-axialcnc-1;armcbottom_2-1;fixringM10-1;slideringflangecnc-1;armcsidea_2-1;armcsideb_2-1;armcconnection-1;bearingsit_armcsideb_2-1;4438-0527-1/外壳4438-0415-1;4438-0527-1/3D_双编-4438（功率升级）_2024-04-11-1;4438-0527-1/正装轴承座4438-1;4438-0527-1/2内齿4438-1;4438-0527-1/0423电机盖4438端子版-1;4438-0527-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm-2;4438-0527-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm-3;4438-0527-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm-4;4438-0527-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm-1;4438-0527-1/内六角圆柱头螺钉_3.5头_M2.5×8-2;4438-0527-1/内六角圆柱头螺钉_3.5头_M2.5×8-1;4438-0527-1/配重4438-1",坐标系5,基准轴5,j4,revolute,-0.03989,0.079198,0.0043217,0,0,0,Empty_Link3,0.1061,-0.99299,-0.052006,100,10,-3.14,3.14,,,,,,,,
Empty_Link5,0.0231359607951343,0.0491399156551176,0.0483942593470714,0,0,0,0.23163739781675,0.000210954688882632,-3.6535945786043E-05,-1.66433364641079E-06,0.000141806822397899,-7.03169835125346E-06,0.000281867036595184,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link5.STL,,0802sigan100mm-1/gudingzuoEK6-1;sigansit-1;sifangluomuM3_16_32_48-1;translationbottom-1;sigandaoguifix-1;4438-0527-1/输出盘4438-1;4438gasket1-1;bearing8_14_4-1;sigansupportarm-1;sigansupportarmflange-1;sifangluomuM3_16_32_48-2;sliderailarm-1;diankuai1-1;MGN7C1R150Z0C_GW202508037153-1/MGR7_temp-1.1-1;camerasit_2-1;cameragasket-1;3536-1/3536-32一级4速比内齿-1.3-1;0802sigan100mm-1/0802sigan180mm-1;3536-1/3536-外壳-1.3-1;STP_LYCA-2030_5_6-1;3536-1/3536-轴承座-1.3-1;3536-1/3536-32二级8速比内齿-1.3-1;sigan3536sit-1;translationterminal-1;sifangluomu10_10_6_M3-3;sifangluomu10_10_6_M3-2;sifangluomu10_10_6_M3-1;sigangudingduan-1;0802sigan100mm-1/zhichengduanEF6-1;MGN7C1R150Z0C_GW202508037153-2/MGR7_temp-1.1-1;3536-1/3536-电机盖-1.3-1;3536flangeshaft-1;diankuai2-1;sifangluomu10_10_6_M3-4;3536-1/3536-32二级8速比输出盘-1.3-1;3536-1/3536-25-32-4-6705 2rs1.3-1;4438-0527-1,坐标系6,基准轴6,j5,revolute,-0.02458,0.23003,-0.013938,0,0,0,Empty_Link4,0.0055254,-0.051712,0.99865,100,10,-3.14,3.14,,,,,,,,
camera_Link,0.0106700250722204,-0.00440418433698633,0.000530626053692917,0,0,0,0.0375088017012115,1.94914210099807E-05,-8.04429593621107E-06,-1.85033895526069E-07,5.83588679302749E-06,-5.07127364470073E-07,2.19002696899909E-05,0,0,0,0,0,0,package://thth0110/meshes/camera_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/camera_Link.STL,,D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/BARCODE_AWG_8-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_M1-6_4L_4-2;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_M1-6_4L_4-4;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_M1-6_4L_4-3;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_TORX_M2_X_5L_6-2;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_TORX_M2_X_5L_6-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/AUX_COVER_SUBASSY_AWG_W_RGB_ASM_ASM-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/PASTE_THERMAL_IR_AWG_W_RGB_7-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/FPC_DS5_DK_ASIC_AWG_STEREO_IM_1_ASM-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/HEATSINK_AWG_W_RGB_24-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/FRONT_COVER_ALUMINUM_AWG_W_RGB_-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/DS5_RGB_MODULE_ASM_13_ASM-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/FOAM_ISOLATION_CARRIER_AWG_RGB__ASM-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/LENS_COVER_SUBASSY_AWG_W_RGB_AS_ASM-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/SCREW_M1-6_4L_4-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/REAR_COVER_SUBASSY_AWG_W_RGB_AS_ASM-1/MAGNET_9-2;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/REAR_COVER_SUBASSY_AWG_W_RGB_AS_ASM-1/MAGNET_9-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/REAR_COVER_SUBASSY_AWG_W_RGB_AS_ASM-1/REAR_COVER_ALUMINUM_AWG_RGB_121-1;D435_RELEASE_ASM_ASM-1/000_TA_DS5_DEV_KIT_AWG_RGB_ASM__ASM-1/CAMERA_MOD_DS5_AWG_ASM_46_ASM-1,坐标系10,,j_camera,fixed,0.062522,0.13601,0.11875,0,0,1.5708,Empty_Link5,0,0,0,,,,,,,,,,,,
Empty_Link6,0.00804624017095822,0.0172072554925143,0.0138462486673112,0,0,0,0.0803751499998822,1.44670093386749E-05,3.55129167972648E-06,1.17738318901375E-07,2.09529105725378E-05,2.29151889595778E-07,1.6672704802587E-05,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link6.STL,,"4438-0527.8-1/外壳4438-0415.11-1;4438-0527.8-1/正装轴承座4438.12-1;4438-0527.8-1/0423电机盖4438端子版.2-1;4438-0527.8-1/3D_双编-4438（功率升级）_2024-04-11.1-1;4438-0527.8-1/2内齿4438.4-1;0802sigan100mm-1/luomuzuo0802-1;0802sigan100mm-1/luomufalan0802-1;terminalsidearm2-1;terminal4438sit-1;terminalsidearm1-1;MGN7C1R150Z0C_GW202508037153-2/MGN7C_右封_temp.2-1;MGN7C1R150Z0C_GW202508037153-1/MGN7C_右封_temp.2-1;4438-0527.8-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm.5-4;4438-0527.8-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm.5-3;4438-0527.8-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm.5-2;4438-0527.8-1/沉头十字_M2锁电板螺丝1_D_k=2.6mm,L=3mm.5-1;4438-0527.8-1/配重4438.9-1;4438-0527.8-1/内六角圆柱头螺钉_3.5头_M2.5×8.10-1;4438-0527.8-1/内六角圆柱头螺钉_3.5头_M2.5×8.10-2;4438-0527.8-1/30374.3-1",坐标系7,基准轴7,j6,prismatic,0.019598,0.042485,0.028077,0,0,0,Empty_Link5,0.40528,0.91308,0.045039,100,0.01,0,0.1,,,,,,,,
Empty_Link7,0.060959,0.13897,0.0076845,0,0,0,0.26037,0.00022297,-4.6396E-05,-1.0121E-05,0.00013828,-4.3766E-06,0.00018924,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link7.STL,,jiazhua-1/夹爪主体支架.4.11-1;terminalconnectioncarbon-2;terminalconnection-1;4438-0527.8-1/输出盘4438.7-1;terminalconnectioncarbon-1;jiazhua-1/3536电机.3-1;jiazhua-1/吸盘.8.14-1,坐标系7,基准轴7,j7,revolute,0,0,0,0,0,0,Empty_Link6,0.40528,0.91308,0.045039,100,10,-3.14,3.14,,,,,,,,
Empty_Link8,0.0097007,0.050032,-0.026523,0,0,0,0.11578,0.00010505,-1.9951E-05,-6.9402E-07,5.504E-05,1.4536E-05,0.00011524,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link8.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://thth0110/meshes/Empty_Link8.STL,,jiazhua-1/夹爪A.7.13-1;jiazhua-1/机械臂夹爪a.1.16-1,坐标系9,基准轴9,j8,revolute,0.091108,0.15115,-0.013476,0,0,0,Empty_Link7,-0.91417,0.40449,0.026003,100,10,-3.14,3.14,,,,,,,,
